id,name,start_date,end_date,created_at,updated_at
90114,"Resident Judge SBA Cyprus","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90115,"Vice President of the Unified Tribunals","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90116,"Director of Property Chamber Training","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90117,"Security Liaison Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90118,"Vice President of King's Bench","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90119,"Director of Senior Judiciary Training (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90120,"Senior Judge in the Sovereign Base Areas Cyprus","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90121,"Vice President Queens Bench","2023-03-30","2024-01-30","2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90122,"Director of Serious Sexual Offences (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90123,"Regional Leadership Magistrate","2023-08-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90124,"Vice Chair of MFSC","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90125,"Director of Training For Courts (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90126,"Family Presiding Judge","2023-09-04",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90127,"Director of Training For Tribunals (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90128,"Director of Wales Training (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90129,"Family Division Liaison Judge","2023-03-30","2023-09-04","2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90130,"District Judge (Magistrates Court) Course Director","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90131,"Senior Family Liaison Judge","2023-03-30","2023-09-04","2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90132,"District Judge (Magistrates Court) Course Tutor","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90133,"Vice President Kings Bench","2023-03-30","2023-09-27","2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90134,"District Judge (MC) Course Director (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90135,"District Judge (MC) Course Tutor (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90136,"Diversity and Development Committee Chairman (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90137,"Diversity and Development Committee Member (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90138,"Editor of Crown Court Compendium (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90139,"ETBB Editorial Panel (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90140,"Faculty Tutor","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90141,"Family Course Director (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90142,"Family Course Tutor (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90143,"Judicial College Board Member","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90144,"Supervising DJ (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90145,"TAAAC Course Director (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90146,"Training District Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90147,"Training Lead for Welsh Law & Language","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90148,"Tribunals Committee Member (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90149,"Tribunals Training Lead","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90150,"Wales Training Committee Chairman (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90151,"Wales Training Committee Member (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90152,"Wales Training Course Director (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90153,"Acting Resident Judge","2023-05-02",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90154,"Acting Designated Family Judge","2023-08-03",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90155,"Acting Designated Civil Judge","2023-08-03",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90156,"Lead Family Presiding Judge","2023-09-04",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90157,"Leadership Trainer (JC)","2024-02-28",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90158,"Lead and Deputy Online Judge","2025-02-19",,"2025-02-20T01:00:40Z","2025-02-20T01:00:40Z"
90159,"The Chief Coroner's Major Incidents Cadre","2025-05-15",,"2025-07-16T00:00:15Z","2025-12-19T01:00:10Z"
90160,"The Chief Coroner's Service Deaths Cadre","2025-05-15",,"2025-07-16T00:00:15Z","2025-12-19T01:00:10Z"
90161,"Acting Regional Judge","2024-12-23",,"2025-12-19T01:00:10Z","2025-12-19T01:00:10Z"
90162,"Acting Principal Judge","2024-06-13",,"2025-12-19T01:00:10Z","2025-12-19T01:00:10Z"
90163,"Acting Senior Costs Judge","2024-08-01",,"2025-12-19T01:00:10Z","2025-12-19T01:00:10Z"
